PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
ACHLO006-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO006-09[LCO1490_t1,HCO2198_t1]_F+1263871989.ab1
ACHLO006-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO006-09[LCO1490_t1,HCO2198_t1]_F+1264287220.ab1
ACHLO006-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO006-09[LCO1490_t1,HCO2198_t1]_R+1263841568.ab1
ACHLO006-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO006-09[LCO1490_t1,HCO2198_t1]_R+1264270087.ab1
ACHLO007-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO007-09[LCO1490_t1,HCO2198_t1]_R+1263841568.ab1
ACHLO007-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO007-09[LCO1490_t1,HCO2198_t1]_F+1264287220.ab1
ACHLO007-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO007-09[LCO1490_t1,HCO2198_t1]_F+1263871989.ab1
ACHLO007-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO007-09[LCO1490_t1,HCO2198_t1]_R+1264270087.ab1
ACHLO040-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO040-09[LCO1490_t1,HCO2198_t1]_R+1264270087.ab1
ACHLO040-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO040-09[LCO1490_t1,HCO2198_t1]_F+1264287220.ab1
ACHLO041-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO041-09[LCO1490_t1,HCO2198_t1]_F+1264287220.ab1
ACHLO041-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO041-09[LCO1490_t1,HCO2198_t1]_R+1264270087.ab1
ACHLO041-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO041-09[LCO1490_t1,HCO2198_t1]_R+1263841568.ab1
ACHLO041-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO041-09[LCO1490_t1,HCO2198_t1]_F+1263871989.ab1
ACHLO051-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO051-09[LepF1,C_ANTMR1D]_F+1273610722.ab1
ACHLO069-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO069-09[LepF1,C_ANTMR1D]_F+1273593985.ab1
ACHLO070-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO070-09[LepF1,C_ANTMR1D]_F+1273593985.ab1
ACHLO075-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO075-09[LepF1,C_ANTMR1D]_F+1273610722.ab1
ACHLO077-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO077-09[LepF1,C_ANTMR1D]_F+1273593985.ab1
ACHLO079-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO079-09[LepF1,C_ANTMR1D]_F+1273593985.ab1
ACHLO094-09	Allolobophora chlorotica	COI-5P		ACHLO/ACHLO094-09[LepF1,C_ANTMR1D]_F+1273593985.ab1
RBNII384-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII384-13[C_LepFolF,C_LepFolR]_F+1380820867.ab1
RBNII384-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII384-13[C_LepFolF,C_LepFolR]_R+1380819216.ab1
RBNII395-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII395-13[C_LepFolF,C_LepFolR]_F+1380820867.ab1
RBNII395-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII395-13[C_LepFolF,C_LepFolR]_R+1380819216.ab1
RBNII396-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII396-13[C_LepFolF,C_LepFolR]_R+1380819216.ab1
RBNII396-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII396-13[C_LepFolF,C_LepFolR]_F+1380820867.ab1
RBNII397-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII397-13[C_LepFolF,C_LepFolR]_R+1380819216.ab1
RBNII397-13	Allolobophora chlorotica	COI-5P		AAACA/RBNII397-13[C_LepFolF,C_LepFolR]_F+1380820867.ab1

