"reads","direction","contig"
"Achl_ACHLO006-09_1_F.ab1","F","Achl_ACHLO006-09"
"Achl_ACHLO006-09_2_R.ab1","R","Achl_ACHLO006-09"
"Achl_ACHLO007-09_1_F.ab1","F","Achl_ACHLO007-09"
"Achl_ACHLO007-09_2_R.ab1","R","Achl_ACHLO007-09"
"Achl_ACHLO040-09_1_F.ab1","F","Achl_ACHLO040-09"
"Achl_ACHLO040-09_2_R.ab1","R","Achl_ACHLO040-09"
"Achl_ACHLO041-09_1_F.ab1","F","Achl_ACHLO041-09"
"Achl_ACHLO041-09_2_R.ab1","R","Achl_ACHLO041-09"
"Achl_RBNII384-13_1_F.ab1","F","Achl_RBNII384-13"
"Achl_RBNII384-13_2_R.ab1","R","Achl_RBNII384-13"
"Achl_RBNII395-13_1_F.ab1","F","Achl_RBNII395-13"
"Achl_RBNII395-13_2_R.ab1","R","Achl_RBNII395-13"
"Achl_RBNII396-13_1_F.ab1","F","Achl_RBNII396-13"
"Achl_RBNII396-13_2_R.ab1","R","Achl_RBNII396-13"
"Achl_RBNII397-13_1_F.ab1","F","Achl_RBNII397-13"
"Achl_RBNII397-13_2_R.ab1","R","Achl_RBNII397-13"
