"filename","functions","first_line","first_byte","last_line","last_byte","first_column","last_column","first_parsed","last_parsed","value"
"R/AllGenerics.R","primaryAASeqS1",27,30,27,79,30,79,29,29,24
"R/AllGenerics.R","primaryAASeqS2",38,30,38,79,30,79,40,40,12
"R/AllGenerics.R","primaryAASeqS3",49,30,49,79,30,79,51,51,12
"R/AllGenerics.R","qualityBasePlot",69,5,69,38,5,38,71,71,20
"R/AllGenerics.R","updateQualityParam",121,5,121,41,5,41,123,123,241
"R/AllGenerics.R","MakeBaseCalls",141,5,141,36,5,36,143,143,16
"R/AllGenerics.R","writeFastaSA",167,5,167,35,5,35,169,169,10
"R/AllGenerics.R","writeFastaSC",190,5,190,35,5,35,192,192,10
"R/AllGenerics.R","writeFastaSR",211,5,211,35,5,35,213,213,13
"R/AllGenerics.R","launchAppSC",237,5,237,34,5,34,239,239,0
"R/AllGenerics.R","launchAppSA",260,5,260,34,5,34,262,262,0
"R/AllGenerics.R","readTable",287,5,287,32,5,32,289,289,36
"R/AllGenerics.R","generateReportSR",314,5,314,39,5,39,316,316,1
"R/AllGenerics.R","generateReportSC",340,5,340,39,5,39,342,342,0
"R/AllGenerics.R","generateReportSA",368,5,368,39,5,39,370,370,0
"R/ClassChromatogramParam.R","ChromatogramParam",45,15,45,56,15,56,417,417,509
"R/ClassChromatogramParam.R","ChromatogramParam",46,15,46,84,15,84,418,418,509
"R/ClassChromatogramParam.R","ChromatogramParam",47,15,47,83,15,83,419,419,509
"R/ClassChromatogramParam.R","ChromatogramParam",48,15,48,92,15,92,420,420,509
"R/ClassChromatogramParam.R","ChromatogramParam",49,15,49,80,15,80,421,421,509
"R/ClassChromatogramParam.R","ChromatogramParam",50,19,50,42,19,42,50,50,509
"R/ClassChromatogramParam.R","ChromatogramParam",55,17,55,55,17,55,427,427,0
"R/ClassChromatogramParam.R","ChromatogramParam",57,15,61,61,15,61,429,433,509
"R/ClassObjectResults.R","ObjectResults",54,13,61,57,13,57,522,529,1346
"R/ClassQualityReport.R","QualityReport",84,15,84,56,15,56,639,639,508
"R/ClassQualityReport.R","QualityReport",85,15,85,94,15,94,640,640,508
"R/ClassQualityReport.R","QualityReport",90,15,94,64,15,64,645,649,508
"R/ClassQualityReport.R","QualityReport",95,19,95,42,19,42,95,95,508
"R/ClassQualityReport.R","QualityReport",102,19,102,74,19,74,657,657,508
"R/ClassQualityReport.R","QualityReport",108,23,108,44,23,44,108,108,508
"R/ClassQualityReport.R","QualityReport",113,23,116,71,23,71,668,671,489
"R/ClassQualityReport.R","QualityReport",117,30,117,51,30,51,117,117,19
"R/ClassQualityReport.R","QualityReport",122,23,125,74,23,74,677,680,19
"R/ClassQualityReport.R","QualityReport",127,19,127,63,19,63,682,682,508
"R/ClassQualityReport.R","QualityReport",128,19,128,77,19,77,683,683,508
"R/ClassQualityReport.R","QualityReport",129,19,129,75,19,75,684,684,508
"R/ClassQualityReport.R","QualityReport",130,19,130,69,19,69,685,685,508
"R/ClassQualityReport.R","QualityReport",131,19,131,71,19,71,686,686,508
"R/ClassQualityReport.R","QualityReport",132,19,132,71,19,71,687,687,508
