"file","expressions","covered","pct"
"R/ShinySangerAlignmentServer.R",617,0,0
"R/ShinySangerContigServer.R",490,0,0
"R/ShinyServerModule.R",302,0,0
"R/MethodShared.R",38,18,47.37
"R/sangeranalyseR_show_method.R",48,28,58.33
"R/MethodSangerAlignment.R",96,57,59.38
"R/MethodSangerContig.R",134,89,66.42
"R/AllGenerics.R",15,11,73.33
"R/ClassSangerContig.R",311,248,79.74
"R/MethodSangerRead.R",136,110,80.88
"R/UtilitiesFuncInputChecker.R",158,136,86.08
"R/GlobalTrimApp.R",37,32,86.49
"R/UtilitiesFunc.R",463,402,86.83
"R/ClassChromatogramParam.R",8,7,87.5
"R/ClassSangerRead.R",143,135,94.41
"R/ClassQualityReport.R",21,20,95.24
"src/peakvalues.cpp",71,68,95.77
"R/ClassSangerAlignment.R",179,173,96.65
"R/MethodsQualityReport.R",36,35,97.22
"R/ClassObjectResults.R",1,1,100
"R/Constructors.R",6,6,100
"R/LoadMessage.R",3,3,100
